  **  PHYSICAL PARAMETERS  **


   RADIUS      n(H2)       TEMP.       A_V         RAD.FIELD   K(ICOR)     K(ICOIP)    K(ICOAP)    DELTA_AUV   T_DUST      NMONO       ALL_ICE     
   1.171E+017  1.644E+002  1.020E+001  5.146E-002  6.239E-001  1.040E-011  0.000E+000  0.000E+000  2.800E+002  9.767E+002         NaN  0.000E+000
   1.255E+017  1.431E+002  1.000E+001  4.803E-002  6.418E-001  1.271E-011  0.000E+000  0.000E+000  2.800E+002  9.767E+002         NaN  0.000E+000
   1.345E+017  1.247E+002  1.000E+001  4.482E-002  6.592E-001  1.591E-011  0.000E+000  0.000E+000  2.800E+002  9.767E+002         NaN  0.000E+000
   1.441E+017  1.086E+002  1.000E+001  4.183E-002  6.759E-001  2.054E-011  0.000E+000  0.000E+000  2.801E+002  9.767E+002         NaN  0.000E+000
   1.544E+017  9.458E+001  1.000E+001  3.904E-002  6.921E-001  2.878E-011  0.000E+000  0.000E+000  2.801E+002  9.767E+002         NaN  0.000E+000
   1.654E+017  8.237E+001  1.000E+001  3.643E-002  7.077E-001  4.512E-011  0.000E+000  0.000E+000  2.801E+002  9.767E+002         NaN  0.000E+000
   1.773E+017  7.174E+001  1.000E+001  3.400E-002  7.227E-001  7.890E-011  0.000E+000  0.000E+000  2.801E+002  9.767E+002         NaN  0.000E+000
   1.899E+017  6.249E+001  1.000E+001  3.173E-002  7.371E-001  1.228E-010  0.000E+000  0.000E+000  2.801E+002  9.767E+002         NaN  0.000E+000
   2.035E+017  5.442E+001  1.000E+001  2.961E-002  7.509E-001  1.446E-010  0.000E+000  0.000E+000  2.801E+002  9.767E+002         NaN  0.000E+000
   2.181E+017  4.740E+001  1.000E+001  2.764E-002  7.641E-001  1.505E-010  0.000E+000  0.000E+000  2.801E+002  9.767E+002         NaN  0.000E+000
   2.337E+017  4.128E+001  1.000E+001  2.579E-002  7.767E-001  1.534E-010  0.000E+000  0.000E+000  2.801E+002  9.767E+002         NaN  0.000E+000
   2.504E+017  3.596E+001  1.000E+001  2.407E-002  7.888E-001  1.558E-010  0.000E+000  0.000E+000  2.801E+002  9.767E+002         NaN  0.000E+000
   2.683E+017  3.132E+001  1.000E+001  2.246E-002  8.003E-001  1.581E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   2.875E+017  2.728E+001  1.000E+001  2.097E-002  8.113E-001  1.602E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   3.080E+017  2.376E+001  1.000E+001  1.957E-002  8.218E-001  1.623E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   3.301E+017  2.069E+001  1.000E+001  1.826E-002  8.317E-001  1.642E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   3.537E+017  1.802E+001  1.000E+001  1.704E-002  8.412E-001  1.662E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   3.790E+017  1.570E+001  1.000E+001  1.590E-002  8.502E-001  1.679E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   4.061E+017  1.367E+001  1.000E+001  1.484E-002  8.588E-001  1.696E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   4.351E+017  1.191E+001  1.000E+001  1.385E-002  8.669E-001  1.713E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   4.662E+017  1.037E+001  1.000E+001  1.293E-002  8.746E-001  1.728E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   4.996E+017  9.032E+000  1.000E+001  1.206E-002  8.819E-001  1.743E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   5.353E+017  7.866E+000  1.000E+001  1.126E-002  8.889E-001  1.757E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   5.736E+017  6.851E+000  1.000E+001  1.051E-002  8.954E-001  1.769E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   6.146E+017  5.967E+000  1.000E+001  9.806E-003  9.016E-001  1.782E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   6.586E+017  5.197E+000  1.000E+001  9.152E-003  9.075E-001  1.794E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
   7.057E+017  4.527E+000  1.000E+001  8.541E-003  9.131E-001  1.805E-010  0.000E+000  0.000E+000  2.802E+002  9.767E+002         NaN  0.000E+000
